Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
19132130902,"Jul 1, 2026, 1:21:48 AM",Morning Workout,Workout,,3642,0,132.0,8,false,,,activities/20247921767.fit.gz,,,3642.0,3642.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,132.0,99.0,,,218.0,,,8.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
19119914524,"Jun 30, 2026, 1:18:10 AM",Morning Run,Run,"",2353,5.00,169.0,34,false,,,activities/20235532503.fit.gz,,,2353.0,2053.0,5006.7,3.343,2.439,6.5,6.7,11.2,18.4,3.3,0.0,,,81.0,78.0,169.0,150.0,,,315.0,,,34.0,,,,,,,,,,,0.0,,0.0,,1.0,5016.9,,,,,,,,,,,,,,,,,,,,,,,,,,,2.128,0.0,,,,5286.0,0.0,,,,2.444,,,,,,,,,,,,""
19105680038,"Jun 29, 2026, 3:02:11 AM",Lunch Swim,Swim,,2026,"1,000",146.0,13,false,,,activities/20221068101.fit.gz,,,2026.0,1568.0,1000.0,1.74,0.638,0.0,0.0,,,0.0,0.0,,,,,146.0,124.0,,,224.0,,,13.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.494,0.0,,,,,0.0,50.0,,,,,,,,,,,,,,,""
19094614966,"Jun 28, 2026, 7:06:56 AM",Afternoon Workout,Workout,,3268,0,124.0,6,false,,,activities/20209788713.fit.gz,,,3268.0,3268.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,124.0,95.0,,,180.0,,,6.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
19072013075,"Jun 26, 2026, 9:08:51 AM",Afternoon Run,Run,,2670,7.00,180.0,73,false,,Dynafish Xiaonian,activities/20186784917.fit.gz,,,2670.0,2650.0,7004.2,3.657,2.643,17.9,21.9,10.7,18.5,3.1,-0.1,,,81.0,79.0,180.0,162.0,,,458.0,,,73.0,,,,,,,,,,,,,0.0,,1.0,7010.3,,,,,,,,,,,,,,,,31857462.0,,,,,,,,,,,2.623,0.0,,,,6910.0,0.0,,,,2.645,,,,,,,,,,,,""
19057160793,"Jun 25, 2026, 3:12:44 AM",Lunch Workout,Workout,,2808,0,133.0,6,false,,,activities/20171717067.fit.gz,,,2808.0,2808.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,133.0,103.0,,,188.0,,,6.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
19047193258,"Jun 24, 2026, 9:15:04 AM",Afternoon Run,Run,"",2790,6.00,178.0,52,false,,,activities/20161606105.fit.gz,,,2790.0,2308.0,6007.3,3.829,2.603,10.1,14.1,11.2,18.5,3.0,-0.1,,,81.0,78.0,178.0,156.0,,,382.0,,,52.0,,,,,,,,,,,0.0,,0.0,,1.0,6006.9,,,,,,,,,,,,,,,,,,,,,,,,,,,2.153,0.0,,,,5936.0,0.0,,,,2.603,,,,,,,,,,,,""
19030876540,"Jun 23, 2026, 2:03:56 AM",Morning Swim,Swim,"",1626,"1,000",,,false,,,,,,1626.0,1626.0,1000.0,,0.615,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.615,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
19019736007,"Jun 22, 2026, 9:15:03 AM",Afternoon Run,Run,"Up / 400 × 8
(2/2)",1190,2.49,190.0,18,false,,Dynafish Xiaonian,activities/20133775638.fit.gz,,,1190.0,582.0,2493.5,6.333,4.284,31.5,26.7,14.8,21.6,5.0,0.1,,,89.0,82.0,190.0,167.0,,,109.0,,,18.0,,,,,,,,,,,0.0,,0.0,,1.0,2552.7,,,,,,,,,,,,,,,,31857462.0,,,,,,,,,,,2.095,0.0,,,,1556.0,0.0,,,,4.386,,,,,,,,,,,,""
19019735787,"Jun 22, 2026, 8:59:54 AM",Afternoon Run,Run,"Up / 400 × 8
Accidentally saved 😪 (1/2)",757,1.74,175.0,4,false,,Dynafish Xiaonian,activities/20133775499.fit.gz,,,757.0,504.0,1747.2,5.16,3.467,18.0,13.9,15.7,22.5,5.9,0.3,,,87.0,81.0,175.0,141.0,,,81.0,,,4.0,,,,,,,,,,,0.0,,0.0,,1.0,1785.7,,,,,,,,,,,,,,,,31857462.0,,,,,,,,,,,2.308,0.0,,,,1340.0,0.0,,,,3.543,,,,,,,,,,,,""
19006878157,"Jun 21, 2026, 7:41:02 AM",Afternoon Workout,Workout,,3654,0,133.0,8,false,,,activities/20120673340.fit.gz,,,3654.0,3654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,133.0,102.0,,,232.0,,,8.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
18979343537,"Jun 19, 2026, 2:13:31 AM",Morning Swim,Swim,,2186,"1,000",132.0,8,false,,,activities/20092680801.fit.gz,,,2186.0,1423.0,1000.0,7.16,0.703,0.0,0.0,0.0,0.0,0.0,0.0,,,,,132.0,117.0,,,236.0,,,8.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.457,0.0,,,,,0.0,50.0,,,,,,,,,,,,,,,""
18965835832,"Jun 18, 2026, 12:49:10 AM",Morning Run,Run,"",2603,6.00,170.0,53,false,,Dynafish Xiaonian,activities/20078989069.fit.gz,,,2603.0,2422.0,6007.9,3.65,2.481,16.6,18.4,11.2,18.5,3.0,0.0,,,82.0,79.0,170.0,156.0,,,392.0,,,53.0,,,,,,,,,,,0.0,,0.0,,1.0,6017.0,,,,,,,,,,,,,,,,31857462.0,,,,,,,,,,,2.308,0.0,,,,6326.0,0.0,,,,2.484,,,,,,,,,,,,""
18953840888,"Jun 17, 2026, 1:27:57 AM",Morning Workout,Workout,,3465,0,126.0,6,false,,,activities/20066835118.fit.gz,,,3465.0,3465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,126.0,92.0,,,175.0,,,6.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
18937525897,"Jun 16, 2026, 1:44:20 AM",Morning Run,Run,Up / 800 × 4,1672,4.22,193.0,38,false,,,activities/20050288286.fit.gz,,,1672.0,1153.0,4226.5,4.62,3.666,52.3,50.0,13.5,20.6,4.5,0.1,,,83.0,79.0,193.0,166.0,,,221.0,,,38.0,,,,,,,,,,,0.0,,0.0,,1.0,4300.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.528,0.0,,,,3008.0,0.0,,,,3.73,,,,,,,,,,,,""
18912176124,"Jun 14, 2026, 5:40:19 AM",Afternoon Workout,Workout,,3441,0,129.0,8,false,,,activities/20024570279.fit.gz,,,3441.0,3441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,129.0,100.0,,,212.0,,,8.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
18898088557,"Jun 13, 2026, 1:05:02 AM",Morning Walk,Walk,,11740,12.66,126.0,23,false,,,activities/20010237637.fit.gz,,,11740.0,10962.0,12659.7,3.02,1.155,236.6,238.6,15.1,105.2,25.3,0.0,,,115.0,53.0,126.0,95.0,,,689.0,,,23.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.078,10716.8,,,,19606.0,0.0,,,,,,,,,,,,,,,,""
18885442355,"Jun 12, 2026, 12:52:24 AM",Morning Run,Run,Up / 400 × 6,1757,3.30,188.0,17,false,,,activities/19997384630.fit.gz,,,1757.0,905.0,3299.9,5.66,3.646,36.3,31.7,16.4,23.3,5.0,0.2,,,86.0,81.0,188.0,154.0,,,150.0,,,17.0,,,,,,,,,,,0.0,,0.0,,1.0,3368.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.878,0.0,,,,2404.0,0.0,,,,3.722,,,,,,,,,,,,""
18863541933,"Jun 10, 2026, 10:24:31 AM",Evening Workout,Workout,,3187,0,121.0,5,false,,,activities/19975172712.fit.gz,,,3187.0,3187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,121.0,89.0,,,146.0,,,5.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
18860664112,"Jun 9, 2026, 9:22:08 AM",Afternoon Run,Run,,2131,5.00,163.0,31,false,,,activities/19972242125.fit.gz,,,2131.0,1979.0,5005.4,3.75,2.529,6.1,5.4,11.2,14.7,4.6,0.0,,,81.0,79.0,163.0,150.0,,,307.0,,,31.0,,,,,,,,,,,,,0.0,,1.0,5015.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.349,0.0,,,,5176.0,0.0,,,,2.534,,,,,,,,,,,,""
18836246492,"Jun 8, 2026, 12:17:46 PM",Evening Swim,Swim,,1383,600,131.0,4,false,,,activities/19947398763.fit.gz,,,1383.0,1109.0,600.0,2.5,0.541,0.0,0.0,0.0,0.0,0.0,0.0,,,,,131.0,115.0,,,128.0,,,4.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.434,0.0,,,,,0.0,50.0,,,,,,,,,,,,,,,""
18817775995,"Jun 7, 2026, 1:49:15 AM",Morning Workout,Workout,,3755,0,123.0,7,false,,,activities/19928572423.fit.gz,,,3755.0,3755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,123.0,90.0,,,178.0,,,7.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
18803911824,"Jun 6, 2026, 1:16:48 AM",Morning Run,Run,Too hot,2911,6.51,178.0,64,false,,,activities/19914441334.fit.gz,,,2911.0,2678.0,6509.5,3.462,2.431,16.9,20.2,10.9,18.5,27.3,-0.1,,,81.0,78.0,178.0,160.0,,,439.0,,,64.0,,,,,,,,,,,0.0,,0.0,,1.0,6513.8,,,,,,,,,,,,,,,,,,,,,,,,,,,2.236,0.0,,,,6818.0,0.0,,,,2.432,,,,,,,,,,,,""
18781287330,"Jun 4, 2026, 9:34:13 AM",Afternoon Run,Run,Up / 400 × 8,2197,4.21,190.0,27,false,,,activities/19891403454.fit.gz,,,2197.0,1106.0,4212.4,5.34,3.809,51.7,50.4,14.5,21.7,5.1,0.1,,,85.0,80.0,190.0,160.0,,,195.0,,,27.0,,,,,,,,,,,0.0,,0.0,,1.0,4302.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1.917,0.0,,,,2916.0,0.0,,,,3.89,,,,,,,,,,,,""
18764394030,"Jun 3, 2026, 1:10:27 AM",Morning Workout,Workout,,3179,0,123.0,6,false,,,activities/19874205064.fit.gz,,,3179.0,3179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,123.0,92.0,,,162.0,,,6.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
18752969228,"Jun 2, 2026, 9:01:03 AM",Afternoon Run,Run,Up / tempo / down,2143,4.72,188.0,43,false,,,activities/19862614610.fit.gz,,,2143.0,1623.0,4728.1,4.5,2.913,7.0,6.3,10.9,18.8,3.1,0.0,,,82.0,79.0,188.0,160.0,,,281.0,,,43.0,,,,,,,,,,,0.0,,0.0,,1.0,4739.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.206,0.0,,,,4228.0,0.0,,,,2.92,,,,,,,,,,,,""
18722142946,"May 30, 2026, 11:47:25 PM",Morning Run,Run,,2575,5.56,169.0,39,false,,,activities/19831176280.fit.gz,,,2575.0,2427.0,5560.5,3.571,2.291,16.6,19.8,11.2,18.5,3.4,-0.1,,,81.0,77.0,169.0,151.0,,,362.0,,,39.0,,,,,,,,,,,,,0.0,,1.0,5566.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2.159,0.0,,,,6194.0,0.0,,,,2.294,,,,,,,,,,,,""
18710564111,"May 30, 2026, 1:16:09 AM",Morning Workout,Workout,,4288,0,122.0,8,false,,,activities/19819371227.fit.gz,,,4288.0,4288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,122.0,95.0,,,225.0,,,8.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
18683172303,"May 28, 2026, 12:33:16 AM",Morning Run,Run,,2680,6.00,165.0,33,false,,,activities/19791461807.fit.gz,,,2680.0,2453.0,6006.7,5.833,2.449,13.8,13.8,11.2,22.3,3.2,0.0,,,81.0,79.0,165.0,148.0,,,375.0,,,33.0,,,,,,,,,,,,,0.0,,1.0,6024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.241,0.0,,,,6378.0,0.0,,,,2.456,,,,,,,,,,,,""
18671072228,"May 27, 2026, 3:20:12 AM",Lunch Workout,Workout,,1226,0,127.0,2,false,,,activities/19779145582.fit.gz,,,1226.0,1226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,127.0,101.0,,,81.0,,,2.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
18645992206,"May 25, 2026, 9:21:43 AM",Afternoon Run,Run,Up / ~560 × 5,1930,3.28,185.0,18,false,,,activities/19753591309.fit.gz,,,1930.0,1116.0,3284.1,5.66,2.943,33.5,35.8,11.1,14.8,13.0,0.0,,,85.0,79.0,185.0,151.0,,,185.0,,,18.0,,,,,,,,,,,0.0,,0.0,,1.0,3334.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.702,0.0,,,,2918.0,0.0,,,,2.988,,,,,,,,,,,,""
18634029932,"May 24, 2026, 9:46:24 AM",Afternoon Workout,Workout,,2213,0,117.0,4,false,,,activities/19741371122.fit.gz,,,2213.0,2213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,117.0,92.0,,,97.0,,,4.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
18628484869,"May 24, 2026, 12:26:23 AM",Morning Run,Run,,3438,8.00,178.0,90,false,,,activities/19735709182.fit.gz,,,3438.0,3333.0,8001.4,3.478,2.401,17.9,20.7,10.6,18.5,3.0,-0.1,,,81.0,78.0,178.0,162.0,,,540.0,,,90.0,,,,,,,,,,,,,0.0,,1.0,8008.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.327,0.0,,,,8680.0,0.0,,,,2.403,,,,,,,,,,,,""
