Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Max Heart Rate,Relative Effort,Filename,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Max Cadence,Average Cadence,Average Heart Rate,Calories,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Precipitation Probability,Cloud Cover,Weather Visibility,UV Index,Average Elapsed Speed,Dirt Distance,Total Steps,Average Grade Adjusted Pace,temperature_2m,relative_humidity_2m,wind_speed_10m,workout_style
19119914524,2026-06-30 09:18:10,Morning Run,Run,,2353,169.0,34.0,activities/20235532503.fit.gz,2053.0,5006.7,3.343,2.439,6.5,6.7,11.2,18.4,3.3,0.0,81.0,78.0,150.0,315.0,5016.9,,,,,,,,,,,,,,,,,,,2.128,0.0,5286.0,2.444,26.4,91,2.9,Steady State
19072013075,2026-06-26 17:08:51,Afternoon Run,Run,,2670,180.0,73.0,activities/20186784917.fit.gz,2650.0,7004.2,3.657,2.643,17.9,21.9,10.7,18.5,3.1,-0.1,81.0,79.0,162.0,458.0,7010.3,,,,,,,,,,,,,,,,,,,2.623,0.0,6910.0,2.645,30.9,62,10.4,Steady State
19047193258,2026-06-24 17:15:04,Afternoon Run,Run,,2790,178.0,52.0,activities/20161606105.fit.gz,2308.0,6007.3,3.829,2.603,10.1,14.1,11.2,18.5,3.0,-0.1,81.0,78.0,156.0,382.0,6006.9,,,,,,,,,,,,,,,,,,,2.153,0.0,5936.0,2.603,27.1,88,5.3,Steady State
19019736007,2026-06-22 17:15:03,Afternoon Run,Run,"Up / 400 × 8
(2/2)",1190,190.0,18.0,activities/20133775638.fit.gz,582.0,2493.5,6.333,4.284,31.5,26.7,14.8,21.6,5.0,0.1,89.0,82.0,167.0,109.0,2552.7,,,,,,,,,,,,,,,,,,,2.095,0.0,1556.0,4.386,26.4,86,6.4,Interval
19019735787,2026-06-22 16:59:54,Afternoon Run,Run,"Up / 400 × 8
Accidentally saved 😪 (1/2)",757,175.0,4.0,activities/20133775499.fit.gz,504.0,1747.2,5.16,3.467,18.0,13.9,15.7,22.5,5.9,0.3,87.0,81.0,141.0,81.0,1785.7,,,,,,,,,,,,,,,,,,,2.308,0.0,1340.0,3.543,25.8,93,4.8,Interval
18965835832,2026-06-18 08:49:10,Morning Run,Run,,2603,170.0,53.0,activities/20078989069.fit.gz,2422.0,6007.9,3.65,2.481,16.6,18.4,11.2,18.5,3.0,0.0,82.0,79.0,156.0,392.0,6017.0,,,,,,,,,,,,,,,,,,,2.308,0.0,6326.0,2.484,,,,Steady State
18937525897,2026-06-16 09:44:20,Morning Run,Run,Up / 800 × 4,1672,193.0,38.0,activities/20050288286.fit.gz,1153.0,4226.5,4.62,3.666,52.3,50.0,13.5,20.6,4.5,0.1,83.0,79.0,166.0,221.0,4300.3,,,,,,,,,,,,,,,,,,,2.528,0.0,3008.0,3.73,,,,Interval
18885442355,2026-06-12 08:52:24,Morning Run,Run,Up / 400 × 6,1757,188.0,17.0,activities/19997384630.fit.gz,905.0,3299.9,5.66,3.646,36.3,31.7,16.4,23.3,5.0,0.2,86.0,81.0,154.0,150.0,3368.2,,,,,,,,,,,,,,,,,,,1.878,0.0,2404.0,3.722,23.9,99,4.7,Interval
18860664112,2026-06-09 17:22:08,Afternoon Run,Run,,2131,163.0,31.0,activities/19972242125.fit.gz,1979.0,5005.4,3.75,2.529,6.1,5.4,11.2,14.7,4.6,0.0,81.0,79.0,150.0,307.0,5015.1,,,,,,,,,,,,,,,,,,,2.349,0.0,5176.0,2.534,,,,Steady State
18803911824,2026-06-06 09:16:48,Morning Run,Run,Too hot,2911,178.0,64.0,activities/19914441334.fit.gz,2678.0,6509.5,3.462,2.431,16.9,20.2,10.9,18.5,27.3,-0.1,81.0,78.0,160.0,439.0,6513.8,,,,,,,,,,,,,,,,,,,2.236,0.0,6818.0,2.432,,,,Steady State
18781287330,2026-06-04 17:34:13,Afternoon Run,Run,Up / 400 × 8,2197,190.0,27.0,activities/19891403454.fit.gz,1106.0,4212.4,5.34,3.809,51.7,50.4,14.5,21.7,5.1,0.1,85.0,80.0,160.0,195.0,4302.6,,,,,,,,,,,,,,,,,,,1.917,0.0,2916.0,3.89,31.6,60,4.8,Interval
18752969228,2026-06-02 17:01:03,Afternoon Run,Run,Up / tempo / down,2143,188.0,43.0,activities/19862614610.fit.gz,1623.0,4728.1,4.5,2.913,7.0,6.3,10.9,18.8,3.1,0.0,82.0,79.0,160.0,281.0,4739.2,,,,,,,,,,,,,,,,,,,2.206,0.0,4228.0,2.92,31.7,58,9.8,Steady State
18722142946,2026-05-31 07:47:25,Morning Run,Run,,2575,169.0,39.0,activities/19831176280.fit.gz,2427.0,5560.5,3.571,2.291,16.6,19.8,11.2,18.5,3.4,-0.1,81.0,77.0,151.0,362.0,5566.7,,,,,,,,,,,,,,,,,,,2.159,0.0,6194.0,2.294,24.9,98,1.0,Steady State
18683172303,2026-05-28 08:33:16,Morning Run,Run,,2680,165.0,33.0,activities/19791461807.fit.gz,2453.0,6006.7,5.833,2.449,13.8,13.8,11.2,22.3,3.2,0.0,81.0,79.0,148.0,375.0,6024.0,,,,,,,,,,,,,,,,,,,2.241,0.0,6378.0,2.456,24.9,98,11.0,Steady State
18645992206,2026-05-25 17:21:43,Afternoon Run,Run,Up / ~560 × 5,1930,185.0,18.0,activities/19753591309.fit.gz,1116.0,3284.1,5.66,2.943,33.5,35.8,11.1,14.8,13.0,0.0,85.0,79.0,151.0,185.0,3334.5,,,,,,,,,,,,,,,,,,,1.702,0.0,2918.0,2.988,,,,Interval
18628484869,2026-05-24 08:26:23,Morning Run,Run,,3438,178.0,90.0,activities/19735709182.fit.gz,3333.0,8001.4,3.478,2.401,17.9,20.7,10.6,18.5,3.0,-0.1,81.0,78.0,162.0,540.0,8008.1,,,,,,,,,,,,,,,,,,,2.327,0.0,8680.0,2.403,,,,Steady State
18592646480,2026-05-21 17:17:24,Afternoon Run,Run,,1999,188.0,64.0,activities/19699152692.fit.gz,1766.0,5002.7,3.817,2.833,28.2,21.0,17.3,31.9,4.5,0.1,81.0,78.0,169.0,331.0,5033.3,,,,,,,,,,,,,,,,,,,2.503,0.0,4538.0,2.85,,,,Steady State
18567422210,2026-05-19 19:47:06,Evening Run,Run,Up / 600 × 4 / down,2152,192.0,32.0,activities/19673618323.fit.gz,1336.0,4004.5,4.733,2.997,9.6,11.8,9.1,18.8,10.1,-0.1,89.0,78.0,159.0,227.0,4005.6,,,,,,,,,,,,,,,,,,,1.861,0.0,3440.0,2.998,27.6,90,4.3,Interval
18541891376,2026-05-17 18:16:39,Evening Run,Run,,2239,179.0,65.0,activities/19647806996.fit.gz,2193.0,6006.6,4.286,2.739,10.1,14.6,11.2,19.0,3.2,-0.1,82.0,79.0,164.0,387.0,6004.3,,,,,,,,,,,,,,,,,,,2.683,0.0,5702.0,2.738,30.3,68,3.2,Steady State
18502117751,2026-05-14 17:30:53,Afternoon Run,Run,Up / 300 × 6 hills / down,2701,179.0,27.0,activities/19607608440.fit.gz,1354.0,4000.8,4.4,2.955,47.5,47.6,25.5,37.8,18.5,0.0,85.0,79.0,155.0,232.0,4185.9,,,,,,,,,,,,,,,,,,,1.481,1167.4,3524.0,3.092,,,,Interval
18474823745,2026-05-12 17:27:58,Afternoon Run,Run,,2223,177.0,56.0,activities/19580099979.fit.gz,2093.0,5001.5,3.188,2.39,6.4,5.6,11.2,18.0,5.5,0.0,81.0,78.0,163.0,341.0,5012.1,,,,,,,,,,,,,,,,,,,2.25,0.0,5430.0,2.395,,,,Steady State
18450262713,2026-05-10 18:03:41,Evening Run,Run,,1313,163.0,16.0,activities/19555283590.fit.gz,1220.0,3003.5,3.486,2.462,5.5,5.0,11.0,17.4,3.4,0.0,81.0,78.0,146.0,188.0,3011.4,,,,,,,,,,,,,,,,,,,2.288,162.9,3162.0,2.468,29.0,75,3.6,Steady State
18412096792,2026-05-07 20:19:19,Evening Run,Run,Up / 600 × 4 / down,2360,194.0,55.0,activities/19516702748.fit.gz,1725.0,5004.6,4.86,2.901,13.5,14.9,9.1,18.9,21.2,0.0,89.0,79.0,166.0,303.0,5016.9,,,,,,,,,,,,,,,,,,,2.121,0.0,4492.0,2.908,,,,Steady State
18383413212,2026-05-05 17:27:08,Afternoon Run,Run,,2136,188.0,38.0,activities/19487816318.fit.gz,1947.0,5004.0,3.971,2.57,4.2,6.1,11.2,18.1,3.3,0.0,81.0,79.0,153.0,307.0,5007.8,,,,,,,,,,,,,,,,,,,2.343,156.5,5072.0,2.572,28.9,76,3.2,Steady State
18262808850,2026-04-26 17:15:34,Afternoon Run,Run,,1523,183.0,43.0,activities/19365991501.fit.gz,1473.0,4126.6,3.611,2.801,2.8,6.5,11.2,18.2,2.7,-0.1,80.0,78.0,165.0,259.0,4120.7,,,,,,,,,,,,,,,,,,,2.71,0.0,3778.0,2.797,,,,Steady State
18197966465,2026-04-21 20:56:27,Evening Run,Run,Up + ~560 × 6,2397,188.0,32.0,activities/19300615187.fit.gz,1523.0,4300.5,4.84,2.824,27.1,27.2,11.1,14.8,22.9,0.0,85.0,79.0,157.0,244.0,4427.8,,,,,,,,,,,,,,,,,,,1.794,0.0,3980.0,2.907,,,,Interval
18169881255,2026-04-19 17:39:59,Afternoon Run,Run,,3748,167.0,42.0,activities/19272276468.fit.gz,3393.0,8006.6,3.175,2.36,21.2,21.1,10.7,18.5,3.4,0.0,81.0,78.0,146.0,492.0,8028.8,,,,,,,,,,,,,,,,,,,2.136,0.0,8850.0,2.366,27.5,82,4.0,Steady State
18142444554,2026-04-17 17:14:10,Afternoon Run,Run,Up + tempo,1403,191.0,34.0,activities/19244550935.fit.gz,1249.0,3878.1,4.362,3.105,2.8,6.8,11.2,18.7,3.1,-0.1,81.0,78.0,161.0,220.0,3871.3,,,,,,,,,,,,,,,,,,,2.764,0.0,3218.0,3.1,,,,Steady State
18116420507,2026-04-15 17:47:05,Afternoon Run,Run,Up + ~540 × 6,2282,191.0,33.0,activities/19218330861.fit.gz,1350.0,4230.7,4.929,3.134,42.2,44.0,11.1,14.8,8.3,-0.1,83.0,79.0,159.0,236.0,4320.3,,,,,,,,,,,,,,,,,,,1.854,0.0,3538.0,3.2,,,,Interval
18076882274,2026-04-12 17:20:19,Afternoon Run,Run,,3156,170.0,62.0,activities/19178466045.fit.gz,3049.0,7431.1,3.15,2.437,17.9,21.1,10.6,18.5,3.1,-0.1,81.0,78.0,155.0,478.0,7438.0,,,,,,,,,,,,,,,,,,,2.355,0.0,7942.0,2.439,30.4,67,0.7,Steady State
18051339376,2026-04-10 16:50:20,Afternoon Run,Run,Up + tempo,1583,187.0,34.0,activities/19152646731.fit.gz,1313.0,4007.1,4.58,3.052,42.5,51.6,10.3,24.9,7.8,-0.2,84.0,79.0,160.0,226.0,4071.7,,,,,,,,,,,,,,,,,,,2.531,0.0,3410.0,3.101,,,,Steady State
18026828242,2026-04-08 20:43:51,Evening Run,Run,400 × 6 + down,1355,192.0,24.0,activities/19127902813.fit.gz,657.0,2592.3,4.983,3.946,6.9,2.6,9.1,13.7,16.0,0.1,86.0,81.0,170.0,122.0,2606.1,,,,,,,,,,,,,,,,,,,1.913,0.0,1752.0,3.97,26.2,89,6.2,Interval
18026826432,2026-04-08 20:32:25,Evening Run,Run,Up,567,148.0,2.0,activities/19127901112.fit.gz,496.0,1250.6,4.12,2.521,3.1,14.6,10.0,22.6,50.0,-0.8,82.0,79.0,136.0,73.0,1248.8,,,,,,,,,,,,,,,,,,,2.206,0.0,1294.0,2.538,26.2,89,6.2,Steady State
17981432121,2026-04-05 07:51:41,Morning Run,Run,,2000,181.0,49.0,activities/19081850502.fit.gz,1939.0,5009.3,4.82,2.583,16.4,20.1,8.9,18.1,4.3,-0.1,81.0,78.0,161.0,328.0,5027.1,,,,,,,,,,,,,,,,,,,2.505,433.0,4996.0,2.593,24.0,97,1.8,Steady State
17960027020,2026-04-03 18:08:19,Evening Run,Run,Tempo,915,193.0,49.0,activities/19060251534.fit.gz,915.0,3003.3,3.95,3.282,9.4,4.7,9.1,16.3,3.2,0.1,82.0,78.0,181.0,181.0,3016.8,,,,,,,,,,,,,,,,,,,3.282,0.0,2358.0,3.297,31.5,59,4.5,Steady State
